Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_ZCTA3,SE_A14006_001
"ACSSF","pa","140","00",,,,"42","101",,,"000805",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000805","Census Tract 8.05",,,"Census Tract 8.05, Philadelphia County, Pennsylvania","42101000805","72237","0",,,90741
"ACSSF","pa","140","00",,,,"42","101",,,"000806",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000806","Census Tract 8.06",,,"Census Tract 8.06, Philadelphia County, Pennsylvania","42101000806","73208","0",,,179609
"ACSSF","pa","140","00",,,,"42","101",,,"000901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000901","Census Tract 9.01",,,"Census Tract 9.01, Philadelphia County, Pennsylvania","42101000901","105511","0",,,51384
"ACSSF","pa","140","00",,,,"42","101",,,"000902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101000902","Census Tract 9.02",,,"Census Tract 9.02, Philadelphia County, Pennsylvania","42101000902","155167","0",,,85271
"ACSSF","pa","140","00",,,,"42","101",,,"001001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001001","Census Tract 10.01",,,"Census Tract 10.01, Philadelphia County, Pennsylvania","42101001001","229399","0",,,114205
"ACSSF","pa","140","00",,,,"42","101",,,"001002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001002","Census Tract 10.02",,,"Census Tract 10.02, Philadelphia County, Pennsylvania","42101001002","471655","0",,,137250
"ACSSF","pa","140","00",,,,"42","101",,,"001101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001101","Census Tract 11.01",,,"Census Tract 11.01, Philadelphia County, Pennsylvania","42101001101","174011","0",,,61850
"ACSSF","pa","140","00",,,,"42","101",,,"001102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001102","Census Tract 11.02",,,"Census Tract 11.02, Philadelphia County, Pennsylvania","42101001102","204063","0",,,136310
"ACSSF","pa","140","00",,,,"42","101",,,"001201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001201","Census Tract 12.01",,,"Census Tract 12.01, Philadelphia County, Pennsylvania","42101001201","327555","30728",,,119683
"ACSSF","pa","140","00",,,,"42","101",,,"001203",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001203","Census Tract 12.03",,,"Census Tract 12.03, Philadelphia County, Pennsylvania","42101001203","102414","0",,,107537
"ACSSF","pa","140","00",,,,"42","101",,,"001204",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001204","Census Tract 12.04",,,"Census Tract 12.04, Philadelphia County, Pennsylvania","42101001204","206147","0",,,94056
"ACSSF","pa","140","00",,,,"42","101",,,"001301",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001301","Census Tract 13.01",,,"Census Tract 13.01, Philadelphia County, Pennsylvania","42101001301","170288","0",,,133320
